[0.017s][info][gc] Using The Z Garbage Collector
[6.416s][info][gc] GC(70) Garbage Collection (System.gc()) 280M(14%)->168M(8%)
[6.479s][info][gc] GC(71) Garbage Collection (System.gc()) 282M(14%)->168M(8%)
[6.602s][info][gc] GC(72) Garbage Collection (System.gc()) 618M(30%)->174M(8%)
[6.663s][info][gc] GC(73) Garbage Collection (System.gc()) 288M(14%)->174M(8%)
[6.726s][info][gc] GC(74) Garbage Collection (System.gc()) 288M(14%)->172M(8%)
[6.773s][info][gc] GC(75) Garbage Collection (System.gc()) 284M(14%)->172M(8%)
[6.837s][info][gc] GC(76) Garbage Collection (System.gc()) 286M(14%)->170M(8%)
[6.930s][info][gc] GC(77) Garbage Collection (System.gc()) 620M(30%)->178M(9%)
[6.977s][info][gc] GC(78) Garbage Collection (System.gc()) 292M(14%)->178M(9%)
[7.024s][info][gc] GC(79) Garbage Collection (System.gc()) 292M(14%)->178M(9%)
[7.086s][info][gc] GC(80) Garbage Collection (System.gc()) 290M(14%)->176M(9%)
[7.147s][info][gc] GC(81) Garbage Collection (System.gc()) 290M(14%)->178M(9%)
[7.241s][info][gc] GC(82) Garbage Collection (System.gc()) 640M(31%)->180M(9%)
[7.303s][info][gc] GC(83) Garbage Collection (System.gc()) 294M(14%)->188M(9%)
[7.365s][info][gc] GC(84) Garbage Collection (System.gc()) 296M(14%)->180M(9%)
[7.413s][info][gc] GC(85) Garbage Collection (System.gc()) 292M(14%)->186M(9%)
[7.476s][info][gc] GC(86) Garbage Collection (System.gc()) 296M(14%)->172M(8%)
